AppDynamics PHP Agent 4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe PHP-5.6.37-1+ubuntu14.04.1+deb.sury.org+1 681
2019-12-24 12:02:45.154 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 2, error: 0, snapshot: 0, requestID: 6251740556162783668
2019-12-24 12:02:45.349 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 0, error: 0, snapshot: 0, requestID: -4668568658802387530
2019-12-24 12:02:45.509 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: -6738153728709041461
2019-12-24 12:02:45.707 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: -5060093808275239725
2019-12-24 12:02:45.875 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 0, error: 0, snapshot: 0, requestID: 3050198158176446816
2019-12-24 12:02:46.062 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: 155747292802393330
2019-12-24 12:02:46.239 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 0, error: 0, snapshot: 0, requestID: -3200008459747444916
2019-12-24 12:02:46.421 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: 3282070229725225729
2019-12-24 12:02:46.617 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 3, error: 0, snapshot: 0, requestID: 2672400252283899643
2019-12-24 12:02:46.810 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 3, error: 0, snapshot: 0, requestID: -7809606883183241283
2019-12-24 12:02:47.008 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 2, error: 0, snapshot: 0, requestID: 2683137590052436036
2019-12-24 12:02:47.181 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: 2869871309850125411
